2023-05-29 08:53:38,255 INFO: 加载预训练的ResNet模型
2023-05-29 08:53:38,725 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 08:53:40,209 INFO: 定义损失函数和优化器
2023-05-29 08:53:40,209 INFO: 定义数据预处理
2023-05-29 08:53:40,209 INFO: 加载训练集和测试集
2023-05-29 08:53:41,855 INFO: 开始训练
2023-05-29 08:54:11,664 INFO: Epoch 1/15, Loss: 0.9716734735637295
2023-05-29 08:54:11,671 INFO: Epoch 1 elapsed time: 29809.244140625 ms, energy Usage: 1778.765 J
2023-05-29 08:54:39,834 INFO: Epoch 2/15, Loss: 0.4072053570832525
2023-05-29 08:54:39,837 INFO: Epoch 2 elapsed time: 28163.8515625 ms, energy Usage: 1731.122 J
2023-05-29 08:55:07,960 INFO: Epoch 3/15, Loss: 0.1882253357266285
2023-05-29 08:55:07,962 INFO: Epoch 3 elapsed time: 28123.060546875 ms, energy Usage: 1729.879 J
2023-05-29 08:55:36,126 INFO: Epoch 4/15, Loss: 0.11122217751583274
2023-05-29 08:55:36,128 INFO: Epoch 4 elapsed time: 28163.392578125 ms, energy Usage: 1727.485 J
2023-05-29 08:56:04,323 INFO: Epoch 5/15, Loss: 0.09067024611772931
2023-05-29 08:56:04,326 INFO: Epoch 5 elapsed time: 28194.8671875 ms, energy Usage: 1738.853 J
2023-05-29 08:56:32,561 INFO: Epoch 6/15, Loss: 0.06399598444945045
2023-05-29 08:56:32,564 INFO: Epoch 6 elapsed time: 28235.080078125 ms, energy Usage: 1747.069 J
2023-05-29 08:57:00,884 INFO: Epoch 7/15, Loss: 0.053395673067175915
2023-05-29 08:57:00,887 INFO: Epoch 7 elapsed time: 28320.48828125 ms, energy Usage: 1758.958 J
2023-05-29 08:57:29,285 INFO: Epoch 8/15, Loss: 0.05011814484866906
2023-05-29 08:57:29,288 INFO: Epoch 8 elapsed time: 28398.890625 ms, energy Usage: 1778.887 J
2023-05-29 08:57:57,967 INFO: Epoch 9/15, Loss: 0.042803633022027054
2023-05-29 08:57:57,970 INFO: Epoch 9 elapsed time: 28679.23046875 ms, energy Usage: 1814.657 J
2023-05-29 08:58:26,834 INFO: Epoch 10/15, Loss: 0.03438123797745995
2023-05-29 08:58:26,840 INFO: Epoch 10 elapsed time: 28864.7109375 ms, energy Usage: 1846.526 J
2023-05-29 08:58:55,838 INFO: Epoch 11/15, Loss: 0.03435250318951297
2023-05-29 08:58:55,843 INFO: Epoch 11 elapsed time: 28998.287109375 ms, energy Usage: 1860.143 J
2023-05-29 08:59:24,290 INFO: Epoch 12/15, Loss: 0.03600752657298379
2023-05-29 08:59:24,292 INFO: Epoch 12 elapsed time: 28446.91015625 ms, energy Usage: 1781.41 J
2023-05-29 08:59:52,504 INFO: Epoch 13/15, Loss: 0.033358743518819005
2023-05-29 08:59:52,506 INFO: Epoch 13 elapsed time: 28211.380859375 ms, energy Usage: 1743.316 J
2023-05-29 09:00:20,638 INFO: Epoch 14/15, Loss: 0.03416366990636654
2023-05-29 09:00:20,645 INFO: Epoch 14 elapsed time: 28131.888671875 ms, energy Usage: 1726.232 J
2023-05-29 09:00:48,778 INFO: Epoch 15/15, Loss: 0.0277512049782375
2023-05-29 09:00:48,781 INFO: Epoch 15 elapsed time: 28133.625 ms, energy Usage: 1730.319 J
2023-05-29 09:00:48,783 INFO: Total energy Usage: 26493.621 J
