2023-05-29 10:13:20,221 INFO: 加载预训练的ResNet模型
2023-05-29 10:13:20,693 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 10:13:22,201 INFO: 定义损失函数和优化器
2023-05-29 10:13:22,201 INFO: 定义数据预处理
2023-05-29 10:13:22,202 INFO: 加载训练集和测试集
2023-05-29 10:13:23,836 INFO: 开始训练
2023-05-29 10:13:55,931 INFO: Epoch 1/15, Loss: 0.9890354623270157
2023-05-29 10:13:55,934 INFO: Epoch 1 elapsed time: 32094.736328125 ms, energy Usage: 2083.213 J
2023-05-29 10:14:26,434 INFO: Epoch 2/15, Loss: 0.4368514816474427
2023-05-29 10:14:26,437 INFO: Epoch 2 elapsed time: 30501.033203125 ms, energy Usage: 2041.648 J
2023-05-29 10:14:56,893 INFO: Epoch 3/15, Loss: 0.22523168798374094
2023-05-29 10:14:56,896 INFO: Epoch 3 elapsed time: 30456.158203125 ms, energy Usage: 2035.491 J
2023-05-29 10:15:27,315 INFO: Epoch 4/15, Loss: 0.1359281709698765
2023-05-29 10:15:27,318 INFO: Epoch 4 elapsed time: 30419.341796875 ms, energy Usage: 2038.162 J
2023-05-29 10:15:57,711 INFO: Epoch 5/15, Loss: 0.09526441849844383
2023-05-29 10:15:57,718 INFO: Epoch 5 elapsed time: 30394.09375 ms, energy Usage: 2027.564 J
2023-05-29 10:16:28,058 INFO: Epoch 6/15, Loss: 0.07313306240693611
2023-05-29 10:16:28,067 INFO: Epoch 6 elapsed time: 30340.53515625 ms, energy Usage: 2031.373 J
2023-05-29 10:16:58,430 INFO: Epoch 7/15, Loss: 0.06220737974995466
2023-05-29 10:16:58,433 INFO: Epoch 7 elapsed time: 30362.728515625 ms, energy Usage: 2024.23 J
2023-05-29 10:17:28,743 INFO: Epoch 8/15, Loss: 0.05305550971885433
2023-05-29 10:17:28,748 INFO: Epoch 8 elapsed time: 30309.736328125 ms, energy Usage: 2021.406 J
2023-05-29 10:17:59,133 INFO: Epoch 9/15, Loss: 0.04489449094599851
2023-05-29 10:17:59,136 INFO: Epoch 9 elapsed time: 30384.99609375 ms, energy Usage: 2026.123 J
2023-05-29 10:18:29,487 INFO: Epoch 10/15, Loss: 0.04392870193135346
2023-05-29 10:18:29,495 INFO: Epoch 10 elapsed time: 30350.66015625 ms, energy Usage: 2025.001 J
2023-05-29 10:18:59,830 INFO: Epoch 11/15, Loss: 0.042135321467881424
2023-05-29 10:18:59,836 INFO: Epoch 11 elapsed time: 30335.095703125 ms, energy Usage: 2020.758 J
2023-05-29 10:19:30,164 INFO: Epoch 12/15, Loss: 0.03441092870948489
2023-05-29 10:19:30,167 INFO: Epoch 12 elapsed time: 30327.908203125 ms, energy Usage: 2025.98 J
2023-05-29 10:20:00,504 INFO: Epoch 13/15, Loss: 0.031110117348152763
2023-05-29 10:20:00,507 INFO: Epoch 13 elapsed time: 30337.896484375 ms, energy Usage: 2019.763 J
2023-05-29 10:20:30,819 INFO: Epoch 14/15, Loss: 0.03217249678071502
2023-05-29 10:20:30,821 INFO: Epoch 14 elapsed time: 30311.849609375 ms, energy Usage: 2026.028 J
2023-05-29 10:21:01,194 INFO: Epoch 15/15, Loss: 0.03080699072086045
2023-05-29 10:21:01,197 INFO: Epoch 15 elapsed time: 30373.357421875 ms, energy Usage: 2027.096 J
2023-05-29 10:21:01,205 INFO: Total energy Usage: 30473.836 J
