2023-05-29 09:53:59,590 INFO: 加载预训练的ResNet模型
2023-05-29 09:54:00,041 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 09:54:01,541 INFO: 定义损失函数和优化器
2023-05-29 09:54:01,542 INFO: 定义数据预处理
2023-05-29 09:54:01,542 INFO: 加载训练集和测试集
2023-05-29 09:54:03,187 INFO: 开始训练
2023-05-29 09:54:52,487 INFO: Epoch 1/15, Loss: 1.0966215122798584
2023-05-29 09:54:52,491 INFO: Epoch 1 elapsed time: 49301.125 ms, energy Usage: 3325.276 J
2023-05-29 09:55:40,317 INFO: Epoch 2/15, Loss: 0.6124816404575731
2023-05-29 09:55:40,320 INFO: Epoch 2 elapsed time: 47826.75390625 ms, energy Usage: 3298.187 J
2023-05-29 09:56:27,978 INFO: Epoch 3/15, Loss: 0.4265432861500723
2023-05-29 09:56:27,981 INFO: Epoch 3 elapsed time: 47658.99609375 ms, energy Usage: 3273.001 J
2023-05-29 09:57:15,661 INFO: Epoch 4/15, Loss: 0.3077064944348958
2023-05-29 09:57:15,664 INFO: Epoch 4 elapsed time: 47680.21875 ms, energy Usage: 3275.436 J
2023-05-29 09:58:03,485 INFO: Epoch 5/15, Loss: 0.22268279115011008
2023-05-29 09:58:03,488 INFO: Epoch 5 elapsed time: 47821.87109375 ms, energy Usage: 3293.91 J
2023-05-29 09:58:51,226 INFO: Epoch 6/15, Loss: 0.1620569330761096
2023-05-29 09:58:51,231 INFO: Epoch 6 elapsed time: 47739.01171875 ms, energy Usage: 3287.974 J
2023-05-29 09:59:38,999 INFO: Epoch 7/15, Loss: 0.12478659537359262
2023-05-29 09:59:39,002 INFO: Epoch 7 elapsed time: 47768.01953125 ms, energy Usage: 3282.305 J
2023-05-29 10:00:26,784 INFO: Epoch 8/15, Loss: 0.09889718944710928
2023-05-29 10:00:26,787 INFO: Epoch 8 elapsed time: 47782.390625 ms, energy Usage: 3289.218 J
2023-05-29 10:01:14,522 INFO: Epoch 9/15, Loss: 0.07953241331829324
2023-05-29 10:01:14,525 INFO: Epoch 9 elapsed time: 47735.69921875 ms, energy Usage: 3282.551 J
2023-05-29 10:02:02,385 INFO: Epoch 10/15, Loss: 0.06801501815612485
2023-05-29 10:02:02,388 INFO: Epoch 10 elapsed time: 47861.26953125 ms, energy Usage: 3290.658 J
2023-05-29 10:02:51,056 INFO: Epoch 11/15, Loss: 0.06072139956993459
2023-05-29 10:02:51,059 INFO: Epoch 11 elapsed time: 48667.93359375 ms, energy Usage: 3342.862 J
2023-05-29 10:03:39,765 INFO: Epoch 12/15, Loss: 0.05303146506018248
2023-05-29 10:03:39,768 INFO: Epoch 12 elapsed time: 48706.42578125 ms, energy Usage: 3335.196 J
2023-05-29 10:04:28,446 INFO: Epoch 13/15, Loss: 0.04474577318325964
2023-05-29 10:04:28,448 INFO: Epoch 13 elapsed time: 48677.6484375 ms, energy Usage: 3334.418 J
2023-05-29 10:05:16,147 INFO: Epoch 14/15, Loss: 0.04253781252446503
2023-05-29 10:05:16,156 INFO: Epoch 14 elapsed time: 47698.89453125 ms, energy Usage: 3286.562 J
2023-05-29 10:06:03,855 INFO: Epoch 15/15, Loss: 0.04205821721518656
2023-05-29 10:06:03,858 INFO: Epoch 15 elapsed time: 47700.26953125 ms, energy Usage: 3280.93 J
2023-05-29 10:06:03,860 INFO: Total energy Usage: 49485.519 J
