2023-05-29 10:57:18,637 INFO: 加载预训练的ResNet模型
2023-05-29 10:57:19,088 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 10:57:20,595 INFO: 定义损失函数和优化器
2023-05-29 10:57:20,596 INFO: 定义数据预处理
2023-05-29 10:57:20,596 INFO: 加载训练集和测试集
2023-05-29 10:57:22,235 INFO: 开始训练
2023-05-29 10:58:00,901 INFO: Epoch 1/15, Loss: 1.032903738034046
2023-05-29 10:58:00,904 INFO: Epoch 1 elapsed time: 38667.12890625 ms, energy Usage: 2569.618 J
2023-05-29 10:58:37,319 INFO: Epoch 2/15, Loss: 0.5040001659785085
2023-05-29 10:58:37,322 INFO: Epoch 2 elapsed time: 36415.41796875 ms, energy Usage: 2451.659 J
2023-05-29 10:59:13,455 INFO: Epoch 3/15, Loss: 0.30742142776317916
2023-05-29 10:59:13,458 INFO: Epoch 3 elapsed time: 36133.62109375 ms, energy Usage: 2397.505 J
2023-05-29 10:59:49,548 INFO: Epoch 4/15, Loss: 0.19662732494247082
2023-05-29 10:59:49,553 INFO: Epoch 4 elapsed time: 36090.54296875 ms, energy Usage: 2384.951 J
2023-05-29 11:00:25,629 INFO: Epoch 5/15, Loss: 0.1319328823372188
2023-05-29 11:00:25,632 INFO: Epoch 5 elapsed time: 36076.71484375 ms, energy Usage: 2390.484 J
2023-05-29 11:01:01,751 INFO: Epoch 6/15, Loss: 0.10167343151705611
2023-05-29 11:01:01,755 INFO: Epoch 6 elapsed time: 36119.48046875 ms, energy Usage: 2402.288 J
2023-05-29 11:01:37,970 INFO: Epoch 7/15, Loss: 0.07834413783598568
2023-05-29 11:01:37,973 INFO: Epoch 7 elapsed time: 36214.91015625 ms, energy Usage: 2418.351 J
2023-05-29 11:02:14,785 INFO: Epoch 8/15, Loss: 0.07072101489466893
2023-05-29 11:02:14,788 INFO: Epoch 8 elapsed time: 36812.3984375 ms, energy Usage: 2473.888 J
2023-05-29 11:02:52,006 INFO: Epoch 9/15, Loss: 0.05904125699462593
2023-05-29 11:02:52,008 INFO: Epoch 9 elapsed time: 37218.390625 ms, energy Usage: 2518.269 J
2023-05-29 11:03:29,587 INFO: Epoch 10/15, Loss: 0.05393461871813611
2023-05-29 11:03:29,596 INFO: Epoch 10 elapsed time: 37578.734375 ms, energy Usage: 2557.276 J
2023-05-29 11:04:07,315 INFO: Epoch 11/15, Loss: 0.05249703452532963
2023-05-29 11:04:07,322 INFO: Epoch 11 elapsed time: 37719.67578125 ms, energy Usage: 2572.218 J
2023-05-29 11:04:44,944 INFO: Epoch 12/15, Loss: 0.041243570529238875
2023-05-29 11:04:44,947 INFO: Epoch 12 elapsed time: 37621.921875 ms, energy Usage: 2566.002 J
2023-05-29 11:05:22,449 INFO: Epoch 13/15, Loss: 0.037348032383250594
2023-05-29 11:05:22,453 INFO: Epoch 13 elapsed time: 37502.9609375 ms, energy Usage: 2550.974 J
2023-05-29 11:05:59,925 INFO: Epoch 14/15, Loss: 0.033826798907435875
2023-05-29 11:05:59,929 INFO: Epoch 14 elapsed time: 37472.4453125 ms, energy Usage: 2545.675 J
2023-05-29 11:06:37,627 INFO: Epoch 15/15, Loss: 0.029558413791532158
2023-05-29 11:06:37,630 INFO: Epoch 15 elapsed time: 37697.703125 ms, energy Usage: 2568.44 J
2023-05-29 11:06:37,632 INFO: Total energy Usage: 37367.598 J
