2023-05-29 09:37:11,917 INFO: 加载预训练的ResNet模型
2023-05-29 09:37:12,384 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 09:37:13,878 INFO: 定义损失函数和优化器
2023-05-29 09:37:13,878 INFO: 定义数据预处理
2023-05-29 09:37:13,879 INFO: 加载训练集和测试集
2023-05-29 09:37:15,513 INFO: 开始训练
2023-05-29 09:37:47,531 INFO: Epoch 1/15, Loss: 0.9764353076515295
2023-05-29 09:37:47,533 INFO: Epoch 1 elapsed time: 32018.091796875 ms, energy Usage: 2078.108 J
2023-05-29 09:38:17,980 INFO: Epoch 2/15, Loss: 0.44154877187041064
2023-05-29 09:38:17,984 INFO: Epoch 2 elapsed time: 30446.40234375 ms, energy Usage: 2037.612 J
2023-05-29 09:38:48,264 INFO: Epoch 3/15, Loss: 0.23202841989981854
2023-05-29 09:38:48,267 INFO: Epoch 3 elapsed time: 30280.4609375 ms, energy Usage: 2022.707 J
2023-05-29 09:39:18,532 INFO: Epoch 4/15, Loss: 0.1297568200856371
2023-05-29 09:39:18,538 INFO: Epoch 4 elapsed time: 30265.15234375 ms, energy Usage: 2020.278 J
2023-05-29 09:39:48,318 INFO: Epoch 5/15, Loss: 0.0966710441738672
2023-05-29 09:39:48,321 INFO: Epoch 5 elapsed time: 29779.8359375 ms, energy Usage: 1940.414 J
2023-05-29 09:40:17,835 INFO: Epoch 6/15, Loss: 0.08242488626743216
2023-05-29 09:40:17,838 INFO: Epoch 6 elapsed time: 29514.890625 ms, energy Usage: 1909.7 J
2023-05-29 09:40:47,311 INFO: Epoch 7/15, Loss: 0.06387636088825704
2023-05-29 09:40:47,314 INFO: Epoch 7 elapsed time: 29472.826171875 ms, energy Usage: 1892.166 J
2023-05-29 09:41:16,767 INFO: Epoch 8/15, Loss: 0.05555814719351623
2023-05-29 09:41:16,775 INFO: Epoch 8 elapsed time: 29454.01171875 ms, energy Usage: 1892.379 J
2023-05-29 09:41:46,263 INFO: Epoch 9/15, Loss: 0.045980627752145
2023-05-29 09:41:46,269 INFO: Epoch 9 elapsed time: 29487.421875 ms, energy Usage: 1900.974 J
2023-05-29 09:42:15,778 INFO: Epoch 10/15, Loss: 0.041968463198936844
2023-05-29 09:42:15,780 INFO: Epoch 10 elapsed time: 29509.30078125 ms, energy Usage: 1897.811 J
2023-05-29 09:42:45,354 INFO: Epoch 11/15, Loss: 0.03475574016168504
2023-05-29 09:42:45,362 INFO: Epoch 11 elapsed time: 29573.474609375 ms, energy Usage: 1915.604 J
2023-05-29 09:43:15,008 INFO: Epoch 12/15, Loss: 0.03798135582273088
2023-05-29 09:43:15,016 INFO: Epoch 12 elapsed time: 29646.26953125 ms, energy Usage: 1923.474 J
2023-05-29 09:43:44,693 INFO: Epoch 13/15, Loss: 0.03389077244208568
2023-05-29 09:43:44,696 INFO: Epoch 13 elapsed time: 29677.63671875 ms, energy Usage: 1922.573 J
2023-05-29 09:44:14,166 INFO: Epoch 14/15, Loss: 0.03479134528528508
2023-05-29 09:44:14,168 INFO: Epoch 14 elapsed time: 29469.771484375 ms, energy Usage: 1900.074 J
2023-05-29 09:44:43,654 INFO: Epoch 15/15, Loss: 0.02799660224816464
2023-05-29 09:44:43,662 INFO: Epoch 15 elapsed time: 29485.626953125 ms, energy Usage: 1886.466 J
2023-05-29 09:44:43,666 INFO: Total energy Usage: 29147.291 J
