2023-05-29 09:17:41,141 INFO: 加载预训练的ResNet模型
2023-05-29 09:17:41,613 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 09:17:43,129 INFO: 定义损失函数和优化器
2023-05-29 09:17:43,130 INFO: 定义数据预处理
2023-05-29 09:17:43,130 INFO: 加载训练集和测试集
2023-05-29 09:17:44,772 INFO: 开始训练
2023-05-29 09:18:34,106 INFO: Epoch 1/15, Loss: 1.1026199698181238
2023-05-29 09:18:34,111 INFO: Epoch 1 elapsed time: 49333.2734375 ms, energy Usage: 3323.663 J
2023-05-29 09:19:21,913 INFO: Epoch 2/15, Loss: 0.6005753905667911
2023-05-29 09:19:21,916 INFO: Epoch 2 elapsed time: 47802.0703125 ms, energy Usage: 3291.252 J
2023-05-29 09:20:09,560 INFO: Epoch 3/15, Loss: 0.42227759663199127
2023-05-29 09:20:09,563 INFO: Epoch 3 elapsed time: 47644.8828125 ms, energy Usage: 3265.876 J
2023-05-29 09:20:57,381 INFO: Epoch 4/15, Loss: 0.2944670551154412
2023-05-29 09:20:57,384 INFO: Epoch 4 elapsed time: 47818.7109375 ms, energy Usage: 3293.742 J
2023-05-29 09:21:45,118 INFO: Epoch 5/15, Loss: 0.20584118396987613
2023-05-29 09:21:45,124 INFO: Epoch 5 elapsed time: 47733.99609375 ms, energy Usage: 3280.857 J
2023-05-29 09:22:32,793 INFO: Epoch 6/15, Loss: 0.15414462842986285
2023-05-29 09:22:32,795 INFO: Epoch 6 elapsed time: 47669.44140625 ms, energy Usage: 3268.232 J
2023-05-29 09:23:20,599 INFO: Epoch 7/15, Loss: 0.12109698122099127
2023-05-29 09:23:20,602 INFO: Epoch 7 elapsed time: 47804.375 ms, energy Usage: 3297.731 J
2023-05-29 09:24:08,410 INFO: Epoch 8/15, Loss: 0.09679547190887858
2023-05-29 09:24:08,412 INFO: Epoch 8 elapsed time: 47807.72265625 ms, energy Usage: 3294.422 J
2023-05-29 09:24:56,200 INFO: Epoch 9/15, Loss: 0.07941430117395692
2023-05-29 09:24:56,203 INFO: Epoch 9 elapsed time: 47787.89453125 ms, energy Usage: 3283.196 J
2023-05-29 09:25:43,946 INFO: Epoch 10/15, Loss: 0.062319342689829985
2023-05-29 09:25:43,948 INFO: Epoch 10 elapsed time: 47743.30859375 ms, energy Usage: 3281.921 J
2023-05-29 09:26:31,631 INFO: Epoch 11/15, Loss: 0.05620684659272976
2023-05-29 09:26:31,634 INFO: Epoch 11 elapsed time: 47682.56640625 ms, energy Usage: 3281.649 J
2023-05-29 09:27:19,343 INFO: Epoch 12/15, Loss: 0.04904939836949963
2023-05-29 09:27:19,346 INFO: Epoch 12 elapsed time: 47710.00390625 ms, energy Usage: 3282.417 J
2023-05-29 09:28:07,099 INFO: Epoch 13/15, Loss: 0.04165092382414841
2023-05-29 09:28:07,102 INFO: Epoch 13 elapsed time: 47753.36328125 ms, energy Usage: 3282.484 J
2023-05-29 09:28:54,817 INFO: Epoch 14/15, Loss: 0.0412446315160396
2023-05-29 09:28:54,820 INFO: Epoch 14 elapsed time: 47714.75 ms, energy Usage: 3279.494 J
2023-05-29 09:29:42,544 INFO: Epoch 15/15, Loss: 0.04288706454988284
2023-05-29 09:29:42,547 INFO: Epoch 15 elapsed time: 47724.77734375 ms, energy Usage: 3280.163 J
2023-05-29 09:29:42,549 INFO: Total energy Usage: 49287.099 J
