2023-05-29 10:06:05,993 INFO: 加载预训练的ResNet模型
2023-05-29 10:06:06,464 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 10:06:08,002 INFO: 定义损失函数和优化器
2023-05-29 10:06:08,003 INFO: 定义数据预处理
2023-05-29 10:06:08,003 INFO: 加载训练集和测试集
2023-05-29 10:06:09,640 INFO: 开始训练
2023-05-29 10:06:39,621 INFO: Epoch 1/15, Loss: 0.9513291607097704
2023-05-29 10:06:39,626 INFO: Epoch 1 elapsed time: 29981.884765625 ms, energy Usage: 1808.343 J
2023-05-29 10:07:07,787 INFO: Epoch 2/15, Loss: 0.4008123797117447
2023-05-29 10:07:07,792 INFO: Epoch 2 elapsed time: 28161.52734375 ms, energy Usage: 1736.493 J
2023-05-29 10:07:35,853 INFO: Epoch 3/15, Loss: 0.18840267832333946
2023-05-29 10:07:35,856 INFO: Epoch 3 elapsed time: 28061.11328125 ms, energy Usage: 1723.919 J
2023-05-29 10:08:03,955 INFO: Epoch 4/15, Loss: 0.11043257131336295
2023-05-29 10:08:03,961 INFO: Epoch 4 elapsed time: 28099.48046875 ms, energy Usage: 1720.818 J
2023-05-29 10:08:32,038 INFO: Epoch 5/15, Loss: 0.0876407630703583
2023-05-29 10:08:32,041 INFO: Epoch 5 elapsed time: 28077.0625 ms, energy Usage: 1721.277 J
2023-05-29 10:09:00,167 INFO: Epoch 6/15, Loss: 0.06317820310668677
2023-05-29 10:09:00,173 INFO: Epoch 6 elapsed time: 28126.2421875 ms, energy Usage: 1726.009 J
2023-05-29 10:09:28,316 INFO: Epoch 7/15, Loss: 0.054085961597667515
2023-05-29 10:09:28,319 INFO: Epoch 7 elapsed time: 28143.498046875 ms, energy Usage: 1731.728 J
2023-05-29 10:09:56,503 INFO: Epoch 8/15, Loss: 0.0461130921956988
2023-05-29 10:09:56,506 INFO: Epoch 8 elapsed time: 28184.94140625 ms, energy Usage: 1740.311 J
2023-05-29 10:10:24,779 INFO: Epoch 9/15, Loss: 0.04254889049168144
2023-05-29 10:10:24,781 INFO: Epoch 9 elapsed time: 28272.513671875 ms, energy Usage: 1757.902 J
2023-05-29 10:10:53,164 INFO: Epoch 10/15, Loss: 0.04051239570431715
2023-05-29 10:10:53,167 INFO: Epoch 10 elapsed time: 28383.224609375 ms, energy Usage: 1773.34 J
2023-05-29 10:11:21,715 INFO: Epoch 11/15, Loss: 0.03787569996273639
2023-05-29 10:11:21,717 INFO: Epoch 11 elapsed time: 28547.712890625 ms, energy Usage: 1802.817 J
2023-05-29 10:11:50,516 INFO: Epoch 12/15, Loss: 0.034153491382164
2023-05-29 10:11:50,519 INFO: Epoch 12 elapsed time: 28799.330078125 ms, energy Usage: 1842.643 J
2023-05-29 10:12:19,540 INFO: Epoch 13/15, Loss: 0.02853059556990938
2023-05-29 10:12:19,543 INFO: Epoch 13 elapsed time: 29020.578125 ms, energy Usage: 1863.597 J
2023-05-29 10:12:48,737 INFO: Epoch 14/15, Loss: 0.02771423873254003
2023-05-29 10:12:48,740 INFO: Epoch 14 elapsed time: 29194.552734375 ms, energy Usage: 1886.04 J
2023-05-29 10:13:18,067 INFO: Epoch 15/15, Loss: 0.03192855754144946
2023-05-29 10:13:18,073 INFO: Epoch 15 elapsed time: 29327.978515625 ms, energy Usage: 1913.111 J
2023-05-29 10:13:18,076 INFO: Total energy Usage: 26760.989 J
