2023-05-29 09:44:45,803 INFO: 加载预训练的ResNet模型
2023-05-29 09:44:46,273 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 09:44:47,764 INFO: 定义损失函数和优化器
2023-05-29 09:44:47,764 INFO: 定义数据预处理
2023-05-29 09:44:47,764 INFO: 加载训练集和测试集
2023-05-29 09:44:49,401 INFO: 开始训练
2023-05-29 09:45:27,026 INFO: Epoch 1/15, Loss: 1.0200307214122903
2023-05-29 09:45:27,029 INFO: Epoch 1 elapsed time: 37625.23046875 ms, energy Usage: 2409.523 J
2023-05-29 09:46:03,107 INFO: Epoch 2/15, Loss: 0.5048284315506516
2023-05-29 09:46:03,110 INFO: Epoch 2 elapsed time: 36078.99609375 ms, energy Usage: 2380.394 J
2023-05-29 09:46:39,106 INFO: Epoch 3/15, Loss: 0.30626862701933705
2023-05-29 09:46:39,109 INFO: Epoch 3 elapsed time: 35996.046875 ms, energy Usage: 2372.421 J
2023-05-29 09:47:15,099 INFO: Epoch 4/15, Loss: 0.19019655732776197
2023-05-29 09:47:15,107 INFO: Epoch 4 elapsed time: 35990.91796875 ms, energy Usage: 2369.109 J
2023-05-29 09:47:51,205 INFO: Epoch 5/15, Loss: 0.13116086865096446
2023-05-29 09:47:51,207 INFO: Epoch 5 elapsed time: 36097.58203125 ms, energy Usage: 2371.686 J
2023-05-29 09:48:27,212 INFO: Epoch 6/15, Loss: 0.10070684785856997
2023-05-29 09:48:27,216 INFO: Epoch 6 elapsed time: 36005.10546875 ms, energy Usage: 2385.755 J
2023-05-29 09:49:03,294 INFO: Epoch 7/15, Loss: 0.07886547611042609
2023-05-29 09:49:03,297 INFO: Epoch 7 elapsed time: 36078.76953125 ms, energy Usage: 2394.977 J
2023-05-29 09:49:39,409 INFO: Epoch 8/15, Loss: 0.06979846685667478
2023-05-29 09:49:39,412 INFO: Epoch 8 elapsed time: 36112.234375 ms, energy Usage: 2412.067 J
2023-05-29 09:50:15,735 INFO: Epoch 9/15, Loss: 0.06695947853688751
2023-05-29 09:50:15,738 INFO: Epoch 9 elapsed time: 36322.9375 ms, energy Usage: 2445.482 J
2023-05-29 09:50:52,362 INFO: Epoch 10/15, Loss: 0.05223550766234851
2023-05-29 09:50:52,365 INFO: Epoch 10 elapsed time: 36624.6484375 ms, energy Usage: 2483.124 J
2023-05-29 09:51:29,310 INFO: Epoch 11/15, Loss: 0.04574850692918114
2023-05-29 09:51:29,317 INFO: Epoch 11 elapsed time: 36945.87109375 ms, energy Usage: 2523.532 J
2023-05-29 09:52:06,515 INFO: Epoch 12/15, Loss: 0.04112805426076097
2023-05-29 09:52:06,518 INFO: Epoch 12 elapsed time: 37198.80859375 ms, energy Usage: 2540.6 J
2023-05-29 09:52:43,531 INFO: Epoch 13/15, Loss: 0.03285765680758392
2023-05-29 09:52:43,534 INFO: Epoch 13 elapsed time: 37013.4375 ms, energy Usage: 2526.991 J
2023-05-29 09:53:20,489 INFO: Epoch 14/15, Loss: 0.03515488711704412
2023-05-29 09:53:20,495 INFO: Epoch 14 elapsed time: 36955.296875 ms, energy Usage: 2524.877 J
2023-05-29 09:53:57,461 INFO: Epoch 15/15, Loss: 0.03280029443638695
2023-05-29 09:53:57,464 INFO: Epoch 15 elapsed time: 36966.8125 ms, energy Usage: 2526.614 J
2023-05-29 09:53:57,473 INFO: Total energy Usage: 36667.152 J
