2023-05-29 09:29:44,683 INFO: 加载预训练的ResNet模型
2023-05-29 09:29:45,153 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 09:29:46,678 INFO: 定义损失函数和优化器
2023-05-29 09:29:46,679 INFO: 定义数据预处理
2023-05-29 09:29:46,679 INFO: 加载训练集和测试集
2023-05-29 09:29:48,315 INFO: 开始训练
2023-05-29 09:30:19,073 INFO: Epoch 1/15, Loss: 0.9547076161418643
2023-05-29 09:30:19,077 INFO: Epoch 1 elapsed time: 30758.16796875 ms, energy Usage: 1920.392 J
2023-05-29 09:30:48,428 INFO: Epoch 2/15, Loss: 0.40558975570055905
2023-05-29 09:30:48,431 INFO: Epoch 2 elapsed time: 29351.484375 ms, energy Usage: 1901.819 J
2023-05-29 09:31:17,777 INFO: Epoch 3/15, Loss: 0.18604222742118398
2023-05-29 09:31:17,779 INFO: Epoch 3 elapsed time: 29345.689453125 ms, energy Usage: 1902.388 J
2023-05-29 09:31:47,149 INFO: Epoch 4/15, Loss: 0.10982481137450252
2023-05-29 09:31:47,153 INFO: Epoch 4 elapsed time: 29370.365234375 ms, energy Usage: 1907.12 J
2023-05-29 09:32:16,492 INFO: Epoch 5/15, Loss: 0.08806430209161979
2023-05-29 09:32:16,501 INFO: Epoch 5 elapsed time: 29339.60546875 ms, energy Usage: 1897.987 J
2023-05-29 09:32:45,843 INFO: Epoch 6/15, Loss: 0.07419932667850232
2023-05-29 09:32:45,846 INFO: Epoch 6 elapsed time: 29342.609375 ms, energy Usage: 1901.13 J
2023-05-29 09:33:15,189 INFO: Epoch 7/15, Loss: 0.0561861273338448
2023-05-29 09:33:15,191 INFO: Epoch 7 elapsed time: 29342.951171875 ms, energy Usage: 1899.695 J
2023-05-29 09:33:44,495 INFO: Epoch 8/15, Loss: 0.045889461959465125
2023-05-29 09:33:44,500 INFO: Epoch 8 elapsed time: 29304.060546875 ms, energy Usage: 1897.778 J
2023-05-29 09:34:13,842 INFO: Epoch 9/15, Loss: 0.03614111147507341
2023-05-29 09:34:13,844 INFO: Epoch 9 elapsed time: 29341.83203125 ms, energy Usage: 1898.538 J
2023-05-29 09:34:43,162 INFO: Epoch 10/15, Loss: 0.03913029418707046
2023-05-29 09:34:43,166 INFO: Epoch 10 elapsed time: 29317.68359375 ms, energy Usage: 1904.014 J
2023-05-29 09:35:12,499 INFO: Epoch 11/15, Loss: 0.04217817301966478
2023-05-29 09:35:12,502 INFO: Epoch 11 elapsed time: 29333.662109375 ms, energy Usage: 1898.655 J
2023-05-29 09:35:41,832 INFO: Epoch 12/15, Loss: 0.03489297638143584
2023-05-29 09:35:41,835 INFO: Epoch 12 elapsed time: 29330.25390625 ms, energy Usage: 1894.718 J
2023-05-29 09:36:11,154 INFO: Epoch 13/15, Loss: 0.024320093938624675
2023-05-29 09:36:11,157 INFO: Epoch 13 elapsed time: 29319.640625 ms, energy Usage: 1900.363 J
2023-05-29 09:36:40,468 INFO: Epoch 14/15, Loss: 0.03310913902146704
2023-05-29 09:36:40,471 INFO: Epoch 14 elapsed time: 29311.388671875 ms, energy Usage: 1900.293 J
2023-05-29 09:37:09,778 INFO: Epoch 15/15, Loss: 0.02576783649167236
2023-05-29 09:37:09,781 INFO: Epoch 15 elapsed time: 29307.130859375 ms, energy Usage: 1895.452 J
2023-05-29 09:37:09,783 INFO: Total energy Usage: 28526.903 J
