2023-05-29 09:08:25,222 INFO: 加载预训练的ResNet模型
2023-05-29 09:08:25,693 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 09:08:27,202 INFO: 定义损失函数和优化器
2023-05-29 09:08:27,203 INFO: 定义数据预处理
2023-05-29 09:08:27,203 INFO: 加载训练集和测试集
2023-05-29 09:08:28,838 INFO: 开始训练
2023-05-29 09:09:07,580 INFO: Epoch 1/15, Loss: 1.0313020712503083
2023-05-29 09:09:07,583 INFO: Epoch 1 elapsed time: 38741.79296875 ms, energy Usage: 2580.83 J
2023-05-29 09:09:44,710 INFO: Epoch 2/15, Loss: 0.5089082223222688
2023-05-29 09:09:44,713 INFO: Epoch 2 elapsed time: 37127.84375 ms, energy Usage: 2533.718 J
2023-05-29 09:10:21,694 INFO: Epoch 3/15, Loss: 0.31020610883374655
2023-05-29 09:10:21,697 INFO: Epoch 3 elapsed time: 36981.421875 ms, energy Usage: 2525.692 J
2023-05-29 09:10:58,647 INFO: Epoch 4/15, Loss: 0.20232427673047537
2023-05-29 09:10:58,650 INFO: Epoch 4 elapsed time: 36950.21875 ms, energy Usage: 2528.313 J
2023-05-29 09:11:35,542 INFO: Epoch 5/15, Loss: 0.1428143132782882
2023-05-29 09:11:35,546 INFO: Epoch 5 elapsed time: 36892.8203125 ms, energy Usage: 2517.051 J
2023-05-29 09:12:12,608 INFO: Epoch 6/15, Loss: 0.09593450841362901
2023-05-29 09:12:12,613 INFO: Epoch 6 elapsed time: 37062.31640625 ms, energy Usage: 2533.393 J
2023-05-29 09:12:49,459 INFO: Epoch 7/15, Loss: 0.08101746488107688
2023-05-29 09:12:49,462 INFO: Epoch 7 elapsed time: 36846.12109375 ms, energy Usage: 2504.884 J
2023-05-29 09:13:25,587 INFO: Epoch 8/15, Loss: 0.07009316734193116
2023-05-29 09:13:25,590 INFO: Epoch 8 elapsed time: 36125.515625 ms, energy Usage: 2414.433 J
2023-05-29 09:14:01,624 INFO: Epoch 9/15, Loss: 0.05749298053760263
2023-05-29 09:14:01,627 INFO: Epoch 9 elapsed time: 36034.1015625 ms, energy Usage: 2382.963 J
2023-05-29 09:14:37,609 INFO: Epoch 10/15, Loss: 0.048285884067357836
2023-05-29 09:14:37,612 INFO: Epoch 10 elapsed time: 35982.75 ms, energy Usage: 2381.283 J
2023-05-29 09:15:13,593 INFO: Epoch 11/15, Loss: 0.050229772195473664
2023-05-29 09:15:13,595 INFO: Epoch 11 elapsed time: 35981.5625 ms, energy Usage: 2383.533 J
2023-05-29 09:15:49,639 INFO: Epoch 12/15, Loss: 0.04610093062698289
2023-05-29 09:15:49,641 INFO: Epoch 12 elapsed time: 36043.3828125 ms, energy Usage: 2401.643 J
2023-05-29 09:16:25,781 INFO: Epoch 13/15, Loss: 0.039737420446445446
2023-05-29 09:16:25,784 INFO: Epoch 13 elapsed time: 36140.28515625 ms, energy Usage: 2421.858 J
2023-05-29 09:17:02,179 INFO: Epoch 14/15, Loss: 0.03734379159578401
2023-05-29 09:17:02,181 INFO: Epoch 14 elapsed time: 36394.84375 ms, energy Usage: 2452.345 J
2023-05-29 09:17:38,958 INFO: Epoch 15/15, Loss: 0.03252086540817491
2023-05-29 09:17:38,971 INFO: Epoch 15 elapsed time: 36776.78515625 ms, energy Usage: 2503.152 J
2023-05-29 09:17:38,975 INFO: Total energy Usage: 37065.091 J
