2023-05-29 08:41:44,694 INFO: 加载预训练的ResNet模型
2023-05-29 08:41:45,165 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 08:41:46,680 INFO: 定义损失函数和优化器
2023-05-29 08:41:46,681 INFO: 定义数据预处理
2023-05-29 08:41:46,681 INFO: 加载训练集和测试集
2023-05-29 08:41:48,319 INFO: 开始训练
2023-05-29 08:42:36,569 INFO: Epoch 1/15, Loss: 1.0892929105482572
2023-05-29 08:42:36,571 INFO: Epoch 1 elapsed time: 48249.45703125 ms, energy Usage: 3121.282 J
2023-05-29 08:43:23,444 INFO: Epoch 2/15, Loss: 0.6030362609795326
2023-05-29 08:43:23,447 INFO: Epoch 2 elapsed time: 46873.13671875 ms, energy Usage: 3146.657 J
2023-05-29 08:44:10,633 INFO: Epoch 3/15, Loss: 0.4198287850149305
2023-05-29 08:44:10,636 INFO: Epoch 3 elapsed time: 47186.50390625 ms, energy Usage: 3218.517 J
2023-05-29 08:44:57,307 INFO: Epoch 4/15, Loss: 0.29699292675289907
2023-05-29 08:44:57,313 INFO: Epoch 4 elapsed time: 46671.5234375 ms, energy Usage: 3078.85 J
2023-05-29 08:45:43,830 INFO: Epoch 5/15, Loss: 0.2131852106282384
2023-05-29 08:45:43,832 INFO: Epoch 5 elapsed time: 46516.90625 ms, energy Usage: 3036.488 J
2023-05-29 08:46:30,371 INFO: Epoch 6/15, Loss: 0.15216863458893923
2023-05-29 08:46:30,373 INFO: Epoch 6 elapsed time: 46538.6484375 ms, energy Usage: 3050.098 J
2023-05-29 08:47:16,966 INFO: Epoch 7/15, Loss: 0.12048761986561897
2023-05-29 08:47:16,969 INFO: Epoch 7 elapsed time: 46592.859375 ms, energy Usage: 3075.324 J
2023-05-29 08:48:03,935 INFO: Epoch 8/15, Loss: 0.09662212593995168
2023-05-29 08:48:03,942 INFO: Epoch 8 elapsed time: 46966.02734375 ms, energy Usage: 3128.095 J
2023-05-29 08:48:51,033 INFO: Epoch 9/15, Loss: 0.07973999250292901
2023-05-29 08:48:51,036 INFO: Epoch 9 elapsed time: 47091.6796875 ms, energy Usage: 3206.156 J
2023-05-29 08:49:38,632 INFO: Epoch 10/15, Loss: 0.06423094754791935
2023-05-29 08:49:38,635 INFO: Epoch 10 elapsed time: 47596.30078125 ms, energy Usage: 3272.312 J
2023-05-29 08:50:26,261 INFO: Epoch 11/15, Loss: 0.058309976461907144
2023-05-29 08:50:26,267 INFO: Epoch 11 elapsed time: 47627.11328125 ms, energy Usage: 3281.359 J
2023-05-29 08:51:13,769 INFO: Epoch 12/15, Loss: 0.05153653630625572
2023-05-29 08:51:13,777 INFO: Epoch 12 elapsed time: 47502.61328125 ms, energy Usage: 3267.001 J
2023-05-29 08:52:01,341 INFO: Epoch 13/15, Loss: 0.0459507515886575
2023-05-29 08:52:01,344 INFO: Epoch 13 elapsed time: 47563.93359375 ms, energy Usage: 3278.682 J
2023-05-29 08:52:48,860 INFO: Epoch 14/15, Loss: 0.04183705236213979
2023-05-29 08:52:48,863 INFO: Epoch 14 elapsed time: 47517.30859375 ms, energy Usage: 3271.024 J
2023-05-29 08:53:36,108 INFO: Epoch 15/15, Loss: 0.03725145915364525
2023-05-29 08:53:36,111 INFO: Epoch 15 elapsed time: 47245.03125 ms, energy Usage: 3219.347 J
2023-05-29 08:53:36,113 INFO: Total energy Usage: 47658.234 J
