2023-05-29 09:00:50,928 INFO: 加载预训练的ResNet模型
2023-05-29 09:00:51,396 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 09:00:52,913 INFO: 定义损失函数和优化器
2023-05-29 09:00:52,914 INFO: 定义数据预处理
2023-05-29 09:00:52,914 INFO: 加载训练集和测试集
2023-05-29 09:00:54,548 INFO: 开始训练
2023-05-29 09:01:25,516 INFO: Epoch 1/15, Loss: 0.9836123579603326
2023-05-29 09:01:25,519 INFO: Epoch 1 elapsed time: 30967.849609375 ms, energy Usage: 1912.793 J
2023-05-29 09:01:54,876 INFO: Epoch 2/15, Loss: 0.4391015477268897
2023-05-29 09:01:54,884 INFO: Epoch 2 elapsed time: 29357.736328125 ms, energy Usage: 1875.933 J
2023-05-29 09:02:24,247 INFO: Epoch 3/15, Loss: 0.23059203698659492
2023-05-29 09:02:24,254 INFO: Epoch 3 elapsed time: 29363.919921875 ms, energy Usage: 1875.538 J
2023-05-29 09:02:53,696 INFO: Epoch 4/15, Loss: 0.1325900037594311
2023-05-29 09:02:53,699 INFO: Epoch 4 elapsed time: 29442.1875 ms, energy Usage: 1885.725 J
2023-05-29 09:03:23,121 INFO: Epoch 5/15, Loss: 0.09792491344406325
2023-05-29 09:03:23,126 INFO: Epoch 5 elapsed time: 29423.20703125 ms, energy Usage: 1891.474 J
2023-05-29 09:03:52,566 INFO: Epoch 6/15, Loss: 0.07617147037249697
2023-05-29 09:03:52,572 INFO: Epoch 6 elapsed time: 29440.23046875 ms, energy Usage: 1899.508 J
2023-05-29 09:04:22,084 INFO: Epoch 7/15, Loss: 0.0662829973246626
2023-05-29 09:04:22,089 INFO: Epoch 7 elapsed time: 29512.6484375 ms, energy Usage: 1911.17 J
2023-05-29 09:04:51,690 INFO: Epoch 8/15, Loss: 0.05394087787693762
2023-05-29 09:04:51,693 INFO: Epoch 8 elapsed time: 29601.44140625 ms, energy Usage: 1930.987 J
2023-05-29 09:05:21,489 INFO: Epoch 9/15, Loss: 0.04703239946866698
2023-05-29 09:05:21,492 INFO: Epoch 9 elapsed time: 29796.921875 ms, energy Usage: 1954.078 J
2023-05-29 09:05:51,516 INFO: Epoch 10/15, Loss: 0.04175034346406722
2023-05-29 09:05:51,519 INFO: Epoch 10 elapsed time: 30024.587890625 ms, energy Usage: 1997.45 J
2023-05-29 09:06:21,713 INFO: Epoch 11/15, Loss: 0.04215750134076037
2023-05-29 09:06:21,720 INFO: Epoch 11 elapsed time: 30194.763671875 ms, energy Usage: 2015.284 J
2023-05-29 09:06:52,092 INFO: Epoch 12/15, Loss: 0.03152141926924477
2023-05-29 09:06:52,095 INFO: Epoch 12 elapsed time: 30372.29296875 ms, energy Usage: 2034.59 J
2023-05-29 09:07:22,422 INFO: Epoch 13/15, Loss: 0.02906864428046562
2023-05-29 09:07:22,425 INFO: Epoch 13 elapsed time: 30328.052734375 ms, energy Usage: 2026.62 J
2023-05-29 09:07:52,761 INFO: Epoch 14/15, Loss: 0.037785347797038495
2023-05-29 09:07:52,771 INFO: Epoch 14 elapsed time: 30335.984375 ms, energy Usage: 2033.656 J
2023-05-29 09:08:23,083 INFO: Epoch 15/15, Loss: 0.028487569775463312
2023-05-29 09:08:23,089 INFO: Epoch 15 elapsed time: 30312.00390625 ms, energy Usage: 2025.494 J
2023-05-29 09:08:23,091 INFO: Total energy Usage: 29270.3 J
