model,dataset,batch,frequency,resource,epoch_time,epoch_energy
resnet50,cifar10,256,900,80,17.11,3673.55
resnet50,cifar10,256,900,90,14.08,3466.43
resnet50,cifar10,256,900,100,13.32,3321.18
resnet50,cifar10,256,1000,40,18.54,3948.99
resnet50,cifar10,256,1000,50,17.36,3754.99
resnet50,cifar10,256,1000,60,17.65,3773.63
resnet50,cifar10,256,1000,70,16.76,3707.63
resnet50,cifar10,256,1000,80,15.81,3556.89
resnet50,cifar10,256,1000,90,14.04,3452.58
resnet50,cifar10,256,1000,100,13.62,3460.14
resnet50,cifar10,256,1100,40,18.63,3936.96
resnet50,cifar10,256,1100,50,18.35,3821.36
resnet50,cifar10,256,1100,60,17.38,3724.84
resnet50,cifar10,256,1100,70,17.40,3787.71
resnet50,cifar10,256,1100,80,14.97,3547.32
resnet50,cifar10,256,1100,90,16.21,3598.51
resnet50,cifar10,256,1100,100,15.14,3330.87
resnet50,cifar10,256,1200,40,17.65,3850.25
resnet50,cifar10,256,1200,50,16.48,3731.92
resnet50,cifar10,256,1200,60,14.58,3578.06
resnet50,cifar10,256,1200,70,17.69,3726.52
resnet50,cifar10,256,1200,80,17.24,3574.89
resnet50,cifar10,256,1200,90,13.75,3474.50
resnet50,cifar10,256,1200,100,14.66,3442.62
resnet50,cifar10,256,1300,40,17.10,3788.03
resnet50,cifar10,256,1300,50,15.34,3609.30
resnet50,cifar10,256,1300,60,17.86,3821.77
resnet50,cifar10,256,1300,70,17.57,3781.75
resnet50,cifar10,256,1300,80,16.94,3695.05
resnet50,cifar10,256,1300,90,13.71,3455.45
resnet50,cifar10,256,1300,100,15.04,3378.08
resnet50,cifar10,256,1400,40,16.55,3749.14
resnet50,cifar10,256,1400,50,16.59,3704.96
resnet50,cifar10,256,1400,60,16.05,3642.17
resnet50,cifar10,256,1400,70,14.55,3532.94
resnet50,cifar10,256,1400,80,15.23,3563.29
resnet50,cifar10,256,1400,90,16.24,3460.64
resnet50,cifar10,256,1400,100,14.10,3383.45
resnet50,cifar10,256,1500,40,19.57,4035.10
resnet50,cifar10,256,1500,50,17.97,3819.09
resnet50,cifar10,256,1500,60,16.60,3762.79
resnet50,cifar10,256,1500,70,16.84,3658.34
resnet50,cifar10,256,1500,80,17.29,3626.38
resnet50,cifar10,256,1500,90,16.52,3338.35
resnet50,cifar10,256,1500,100,16.00,3176.52
resnet50,cifar10,512,800,40,15.62,3453.24
resnet50,cifar10,512,800,50,15.28,3402.56
resnet50,cifar10,512,800,60,13.83,3247.97
resnet50,cifar10,512,800,70,13.65,3253.73
resnet50,cifar10,512,800,80,13.25,3219.61
resnet50,cifar10,512,800,90,12.96,3172.14
resnet50,cifar10,512,800,100,12.58,3128.26
resnet50,cifar10,512,900,40,15.60,3442.09
resnet50,cifar10,512,900,50,14.68,3327.39
resnet50,cifar10,512,900,60,13.99,3264.92
resnet50,cifar10,512,900,70,13.48,3218.17
resnet50,cifar10,512,900,80,12.98,3182.36
resnet50,cifar10,512,900,90,12.88,3174.46
resnet50,cifar10,512,900,100,12.85,3156.34
resnet50,cifar10,512,1000,40,15.64,3461.13
resnet50,cifar10,512,1000,50,14.26,3295.97
resnet50,cifar10,512,1000,60,14.29,3282.65
resnet50,cifar10,512,1000,70,13.71,3243.92
resnet50,cifar10,512,1000,80,13.30,3207.94
resnet50,cifar10,512,1000,90,12.93,3160.22
resnet50,cifar10,512,1000,100,12.76,3128.73
resnet50,cifar10,512,1100,40,15.45,3423.27
resnet50,cifar10,512,1100,50,14.27,3293.01
resnet50,cifar10,512,1100,60,14.94,3331.26
resnet50,cifar10,512,1100,70,13.58,3222.71
resnet50,cifar10,512,1100,80,13.10,3186.18
resnet50,cifar10,512,1100,90,12.85,3168.49
resnet50,cifar10,512,1100,100,12.86,3151.76
resnet50,cifar10,512,1200,40,16.60,3535.64
resnet50,cifar10,512,1200,50,14.44,3293.77
resnet50,cifar10,512,1200,60,13.92,3255.10
resnet50,cifar10,512,1200,70,13.69,3236.89
resnet50,cifar10,512,1200,80,12.94,3177.32
resnet50,cifar10,512,1200,90,13.04,3190.58
resnet50,cifar10,512,1200,100,13.77,3229.40
resnet50,cifar10,512,1300,40,15.64,3466.77
resnet50,cifar10,512,1300,50,14.32,3316.01
resnet50,cifar10,512,1300,60,13.89,3269.28
resnet50,cifar10,512,1300,70,13.46,3229.02
resnet50,cifar10,512,1300,80,13.10,3197.32
resnet50,cifar10,512,1300,90,13.02,3196.15
resnet50,cifar10,512,1300,100,13.11,3182.81
resnet50,cifar10,512,1400,40,15.94,3477.36
resnet50,cifar10,512,1400,50,14.87,3341.26
resnet50,cifar10,512,1400,60,13.82,3279.42
resnet50,cifar10,512,1400,70,14.57,3322.95
resnet50,cifar10,512,1400,80,13.52,3224.70
resnet50,cifar10,512,1400,90,13.09,3172.72
resnet50,cifar10,512,1400,100,12.76,3150.48
