2023-05-29 13:17:27,984 INFO: 加载预训练的ResNet模型
2023-05-29 13:17:28,436 INFO: 将模型转换为GPU上的可训练状态
2023-05-29 13:17:29,947 INFO: 定义损失函数和优化器
2023-05-29 13:17:29,948 INFO: 定义数据预处理
2023-05-29 13:17:29,948 INFO: 加载训练集和测试集
2023-05-29 13:17:31,592 INFO: 开始训练
2023-05-29 13:18:25,463 INFO: Epoch 1/10, Loss: 2.355346332910733
2023-05-29 13:18:25,466 INFO: Epoch 1 elapsed time: 53871.1640625 ms, energy Usage: 3603.899 J
2023-05-29 13:19:16,994 INFO: Epoch 2/10, Loss: 2.290629614010835
2023-05-29 13:19:16,996 INFO: Epoch 2 elapsed time: 51528.03515625 ms, energy Usage: 3437.765 J
2023-05-29 13:20:08,512 INFO: Epoch 3/10, Loss: 2.238820179609152
2023-05-29 13:20:08,517 INFO: Epoch 3 elapsed time: 51515.62890625 ms, energy Usage: 3428.822 J
2023-05-29 13:21:00,015 INFO: Epoch 4/10, Loss: 2.192159964488103
2023-05-29 13:21:00,018 INFO: Epoch 4 elapsed time: 51498.796875 ms, energy Usage: 3429.102 J
2023-05-29 13:21:51,519 INFO: Epoch 5/10, Loss: 2.148732067682804
2023-05-29 13:21:51,522 INFO: Epoch 5 elapsed time: 51501.76171875 ms, energy Usage: 3417.4 J
2023-05-29 13:22:43,050 INFO: Epoch 6/10, Loss: 2.107588031200262
2023-05-29 13:22:43,053 INFO: Epoch 6 elapsed time: 51528.81640625 ms, energy Usage: 3425.224 J
2023-05-29 13:23:34,712 INFO: Epoch 7/10, Loss: 2.068140583542677
2023-05-29 13:23:34,720 INFO: Epoch 7 elapsed time: 51659.74609375 ms, energy Usage: 3460.695 J
2023-05-29 13:24:26,815 INFO: Epoch 8/10, Loss: 2.0300079735425802
2023-05-29 13:24:26,818 INFO: Epoch 8 elapsed time: 52095.74609375 ms, energy Usage: 3536.708 J
2023-05-29 13:25:19,570 INFO: Epoch 9/10, Loss: 1.9929564197858174
2023-05-29 13:25:19,572 INFO: Epoch 9 elapsed time: 52752.296875 ms, energy Usage: 3599.653 J
2023-05-29 13:26:12,885 INFO: Epoch 10/10, Loss: 1.956815934028381
2023-05-29 13:26:12,887 INFO: Epoch 10 elapsed time: 53312.61328125 ms, energy Usage: 3669.488 J
2023-05-29 13:26:12,890 INFO: Total energy Usage: 35008.756 J
